"x","y","elevation"
586231.263048331,6431676.53022083,282.029876708984
586481.263048331,6431676.53022083,263.719421386719
586731.263048331,6431676.53022083,244.959686279297
586981.263048331,6431676.53022083,222.323226928711
587231.263048331,6431676.53022083,211.152160644531
587481.263048331,6431676.53022083,232.160400390625
587731.263048331,6431676.53022083,254.018478393555
587981.263048331,6431676.53022083,251.022842407227
588231.263048331,6431676.53022083,237.178466796875
588481.263048331,6431676.53022083,243.635559082031
588731.263048331,6431676.53022083,254.912216186523
588981.263048331,6431676.53022083,252.891830444336
589231.263048331,6431676.53022083,256.097900390625
589481.263048331,6431676.53022083,256.207366943359
589731.263048331,6431676.53022083,242.750717163086
589981.263048331,6431676.53022083,217.513046264648
590231.263048331,6431676.53022083,201.232879638672
590481.263048331,6431676.53022083,186.572311401367
590731.263048331,6431676.53022083,168.623992919922
590981.263048331,6431676.53022083,178.188201904297
591231.263048331,6431676.53022083,216.138748168945
591481.263048331,6431676.53022083,216.469711303711
591731.263048331,6431676.53022083,213.718765258789
591981.263048331,6431676.53022083,214.777694702148
592231.263048331,6431676.53022083,235.243927001953
592481.263048331,6431676.53022083,259.806884765625
592731.263048331,6431676.53022083,259.505096435547
592981.263048331,6431676.53022083,231.186370849609
593231.263048331,6431676.53022083,210.929840087891
593481.263048331,6431676.53022083,190.654296875
593731.263048331,6431676.53022083,168.307601928711
593981.263048331,6431676.53022083,142.688217163086
594231.263048331,6431676.53022083,120.238639831543
594481.263048331,6431676.53022083,117.761665344238
594731.263048331,6431676.53022083,117.246994018555
594981.263048331,6431676.53022083,119.624801635742
595231.263048331,6431676.53022083,122.729431152344
595481.263048331,6431676.53022083,128.171875
595731.263048331,6431676.53022083,135.561126708984
595981.263048331,6431676.53022083,144.94384765625
596231.263048331,6431676.53022083,156.009201049805
596481.263048331,6431676.53022083,167.332214355469
596731.263048331,6431676.53022083,175.412963867188
596981.263048331,6431676.53022083,184.512542724609
597231.263048331,6431676.53022083,173.151626586914
597481.263048331,6431676.53022083,163.477188110352
597731.263048331,6431676.53022083,159.180053710938
597981.263048331,6431676.53022083,144.509841918945
598231.263048331,6431676.53022083,128.852355957031
598481.263048331,6431676.53022083,136.184600830078
598731.263048331,6431676.53022083,153.028610229492
598981.263048331,6431676.53022083,163.82307434082
599231.263048331,6431676.53022083,158.90185546875
599481.263048331,6431676.53022083,162.802139282227
599731.263048331,6431676.53022083,165.777770996094
599981.263048331,6431676.53022083,167.158416748047
600231.263048331,6431676.53022083,176.931076049805
600481.263048331,6431676.53022083,174.487091064453
600731.263048331,6431676.53022083,177.255462646484
600981.263048331,6431676.53022083,177.892501831055
601231.263048331,6431676.53022083,168.680389404297
601481.263048331,6431676.53022083,163.515869140625
601731.263048331,6431676.53022083,162.57470703125
601981.263048331,6431676.53022083,168.232772827148
602231.263048331,6431676.53022083,173.147659301758
602481.263048331,6431676.53022083,182.227401733398
602731.263048331,6431676.53022083,200.679870605469
602981.263048331,6431676.53022083,219.981903076172
603231.263048331,6431676.53022083,242.658050537109
586231.263048331,6431426.53022083,275.985137939453
586481.263048331,6431426.53022083,267.453430175781
586731.263048331,6431426.53022083,260.217224121094
586981.263048331,6431426.53022083,251.562957763672
587231.263048331,6431426.53022083,229.986206054688
587481.263048331,6431426.53022083,208.788452148438
587731.263048331,6431426.53022083,237.311050415039
587981.263048331,6431426.53022083,246.840621948242
588231.263048331,6431426.53022083,235.446548461914
588481.263048331,6431426.53022083,230.362213134766
588731.263048331,6431426.53022083,260.491577148438
588981.263048331,6431426.53022083,272.119110107422
589231.263048331,6431426.53022083,272.659149169922
589481.263048331,6431426.53022083,267.678833007812
589731.263048331,6431426.53022083,249.186950683594
589981.263048331,6431426.53022083,239.101577758789
590231.263048331,6431426.53022083,224.006698608398
590481.263048331,6431426.53022083,198.918121337891
590731.263048331,6431426.53022083,168.206314086914
590981.263048331,6431426.53022083,209.099304199219
591231.263048331,6431426.53022083,230.739212036133
591481.263048331,6431426.53022083,228.878494262695
591731.263048331,6431426.53022083,232.973190307617
591981.263048331,6431426.53022083,233.74006652832
592231.263048331,6431426.53022083,251.599227905273
592481.263048331,6431426.53022083,277.643920898438
592731.263048331,6431426.53022083,282.605987548828
592981.263048331,6431426.53022083,258.366088867188
593231.263048331,6431426.53022083,245.266250610352
593481.263048331,6431426.53022083,207.160232543945
593731.263048331,6431426.53022083,171.059707641602
593981.263048331,6431426.53022083,143.048721313477
594231.263048331,6431426.53022083,121.782028198242
594481.263048331,6431426.53022083,117.82991027832
594731.263048331,6431426.53022083,116.989501953125
594981.263048331,6431426.53022083,118.150840759277
595231.263048331,6431426.53022083,119.364845275879
595481.263048331,6431426.53022083,125.789360046387
595731.263048331,6431426.53022083,135.39274597168
595981.263048331,6431426.53022083,149.208465576172
596231.263048331,6431426.53022083,163.276504516602
596481.263048331,6431426.53022083,173.681365966797
596731.263048331,6431426.53022083,190.281982421875
596981.263048331,6431426.53022083,207.136840820312
